           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              -50               30              115       -10.260674     -0.047015995        27.319067       -2.4411306       -11.740583         4.602479
              -40               30              115       -16.444412       0.59063089         60.44672        80.931015       -9.1235886       -7.3447065
              -30               30              115       -7.4654179         8.331665        28.460365        178.86104        -10.39499       -26.868994
              -20               30              115        2.8907156        13.899813       -52.941975        233.68115       -12.650938       -37.349606
              -10               30              115        5.0923214        11.418568       -126.17084        256.88156       -19.530977        -43.70784
                0               30              115                0                0       -153.01645        264.97104       -25.239996       -47.543102
               10               30              115       -5.0923214       -11.418568       -126.17084        256.88156       -19.530977        -43.70784
               20               30              115       -2.8907156       -13.899813       -52.941975        233.68115       -12.650938       -37.349606
               30               30              115        7.4654179        -8.331665        28.460365        178.86104        -10.39499       -26.868994
               40               30              115        16.444412      -0.59063089         60.44672        80.931015       -9.1235886       -7.3447065
               50               30              115        10.260674      0.047015995        27.319067       -2.4411306       -11.740583         4.602479
              -50               40              115       -6.6136875        2.8198285        18.573277       -8.7962875         2.506053        28.628908
              -40               40              115       -3.3145461        6.5558233        47.984661          25.1008        -54.39027        17.290108
              -30               40              115        1.6747456        4.2431264        47.745735        80.175896       -102.81776       -24.970404
              -20               40              115        5.7333579        1.0416465        23.696968        120.28995       -105.35622       -65.682556
              -10               40              115         5.279542     0.0072498033       -4.4461188        142.85602       -98.222832       -95.972382
                0               40              115                0                0       -17.023952        151.45541       -99.760895       -108.71853
               10               40              115        -5.279542    -0.0072498033       -4.4461188        142.85602       -98.222832       -95.972382
               20               40              115       -5.7333579       -1.0416465        23.696968        120.28995       -105.35622       -65.682556
               30               40              115       -1.6747456       -4.2431264        47.745735        80.175896       -102.81776       -24.970404
               40               40              115        3.3145461       -6.5558233        47.984661          25.1008        -54.39027        17.290108
               50               40              115        6.6136875       -2.8198285        18.573277       -8.7962875         2.506053        28.628908
